id,time,device_id,application_id,gateway_id,modulation,"spreading factor",bandwidth,snr,rssi,frequency,f_port,f_cnt,latitude,longitude,altitude,"accuracy meters",hdop,satellites,"location provider","user agent","experiment name"
479434349,"2022-01-22 01:12:53.175+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-4.50,-122.00,921400000,1,15,16.087316,108.144210,-11.0,3.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434562,"2022-01-22 01:14:24.86+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-5.30,-119.00,921400000,1,7,16.087800,108.144017,-8.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434679,"2022-01-22 01:15:02.583+00",end-node1,relay-rf200,trungnam,LORA,7,125000,8.30,-101.00,921400000,1,11,16.090462,108.142934,-4.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434695,"2022-01-22 01:15:11.292+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.50,-104.00,921400000,1,12,16.091249,108.142496,-4.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434709,"2022-01-22 01:15:19.907+00",end-node1,relay-rf200,trungnam,LORA,7,125000,5.80,-107.00,921400000,1,13,16.091897,108.141978,-7.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434725,"2022-01-22 01:15:28.147+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-1.30,-114.00,921400000,1,14,16.092567,108.141248,-7.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434768,"2022-01-22 01:15:37.4+00",end-node1,relay-rf200,trungnam,LORA,7,125000,-2.80,-115.00,921400000,1,15,16.093195,108.140480,-8.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434840,"2022-01-22 01:16:14.62+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.80,-101.00,921400000,1,19,16.095936,108.137649,-9.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434877,"2022-01-22 01:16:22.87+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.80,-104.00,921400000,1,20,16.096736,108.137148,-9.0,2.50,,,gps,"Android11 App34:2021.12.17",trungnamtest
479434900,"2022-01-22 01:16:32.765+00",end-node1,relay-rf200,trungnam,LORA,7,125000,7.50,-104.00,921400000,1,21,16.097499,108.136748,-10.0,2.00,,,gps,"Android11 App34:2021.12.17",trungnamtest
